Tariff Item Number,,,Product Specific Rules
Section I,,,
Chapter 1,,,CC
Chapter 2,,,CC except from Chapter 1
Chapter 3,,,CC
Chapter 4,,,CC
Chapter 5,,,CC
Section II,,,
Chapter 6,,,CC
Chapter 7,,,CC
Chapter 8,,,CC
Chapter 9,,,CC
Chapter 10,,,CC
Chapter 11,11.01,1101,CC except from Chapter 10
,11.02,,CC except from Chapter 10
,11.03,,CC except from Chapter 10
,11.04,,CC except from Chapter 10
,11.05,,CC except from Chapter 7
,11.06,1106.1,CC except from Chapter 7
,,1106.2,CC except from Chapter 7
,,1106.3,CC except from Chapter 8
,11.07,,CC except from Chapter 10
,11.08,1108.11,CC except from Chapter 10
,,1108.12,CC except from Chapter 10
,,1108.13,CC except from Chapter 7
,,1108.14,CC except from Chapter 7
,,1108.19,CC except from Chapter 7 or 10
,,1108.2,CC except from Chapter 7
,11.09,1109,CC except from Chapter 10
Chapter 12,,,CC
Chapter 13,,,CC
Chapter 14,,,CC
Section III,,,
Chapter 15,15.01,,CC
,15.02,,CC
,15.03,1503,CC
,15.04,,CC
,15.05,1505,CC
,,,
,,,
Tariff Item Number,,,Product Specific Rules
,15.06,1506,CC
,15.07,,CC except from Chapter 12
,15.08,,CC except from Chapter 12
,15.09,,CC except from Chapter 7
,15.1,1510,CC except from Chapter 7
,15.11,,CC except from Chapter 12
,15.12,1512.11,CC except from Chapter 12
,,1512.19,CC except from Chapter 12
,,1512.21,CC
,,1512.29,CC
,15.13,,CC except from Chapter 12
,15.14,,CC except from Chapter 12
,15.15,1515.11,CC except from Chapter 12
,,1515.19,CC except from Chapter 12
,,1515.21,CC except from Chapter 10
,,1515.29,CC except from Chapter 10
,,1515.3,CC except from Chapter 12
,,1515.5,CC except from Chapter 12
,,1515.9,CC except from Chapter 12
,15.16,,CC
,15.17,,CC
,15.18,1518,CC
,15.2,1520,CC
,15.21,,CC
,15.22,1522,CC
Section IV,,,
Chapter 16,16.01,1601,CC except from Chapter 1 or 2
,16.02,1602.1,CC except from Chapter 1 or 2
,,1602.2,CC except from Chapter 1 or 2
,,1602.31,CC except from Chapter 1 or 2
,,1602.32,CC except from Chapter 1 or 2
,,1602.39,CC except from Chapter 1 or 2
,,1602.41,CC except from Chapter 1 or 2
,,1602.42,CC except from Chapter 1 or 2
,,1602.49,CC except from Chapter 1 or 2
,,1602.5,CC except from Chapter 1 or 2
,,1602.9,CC
,16.03,1603,CC except from Chapter 3
,16.04,,CC except from Chapter 3
,16.05,,CC except from Chapter 3
Chapter 17,17.01,,CC except from Chapter 12
,,,
Tariff Item Number,,,Product Specific Rules
,17.02,1702.11,CC except from Chapter 4
,,1702.19,CC except from Chapter 4
,,1702.2,CC
,,1702.3,CC except from Chapter 11 or 12
,,1702.4,CC except from Chapter 11 or 12
,,1702.5,CC except from Chapter 11 or 12
,,1702.6,CC except from Chapter 11 or 12
,,1702.9,CC except from Chapter 11
,17.03,,CC except from Chapter 12
,17.04,,CC
Chapter 18,18.01,1801,CC
,18.02,1802,CC
,18.03,,CC
,18.04,1804,CC
,18.05,1805,CC
,18.06,1806.1,CC except from Chapter 17
,,1806.2,"CC except from Chapter 4, 17 or 19"
,,1806.31,"CC except from Chapter 4, 17 or 19"
,,1806.32,"CC except from Chapter 4, 17 or 19"
,,1806.9,"CC except from Chapter 4, 17 or 19"
Chapter 19,19.01,,"CC except from Chapter 4, 10, 11, 17 or 21"
,19.02,1902.11,CC except from Chapter 10 or 11
,,1902.19,CC except from Chapter 10 or 11
,,1902.2,"CC except from Chapter 1, 2, 3, 10 or 11"
,,1902.3,CC except from Chapter 10 or 11
,,1902.4,CC except from Chapter 10 or 11
,19.03,1903,CC except from Chapter 11
,19.04,1904.1,CC except from Chapter 10 or 11
,,1904.2,CC except from Chapter 10 or 11
,,1904.3,CC
,,1904.9,CC except from Chapter 10 or 11
,19.05,,CC except from Chapter 10 or 11
Chapter 20,20.01,2001.1,CC except from Chapter 7
,,2001.9,CC except from Chapter 7 or 8
,20.02,,CC except from Chapter 7
,20.03,,CC except from Chapter 7
,20.04,,CC except from Chapter 7
,20.05,,CC except from Chapter 7
,20.06,2006,CC except from Chapter 7 or 8
,20.07,,CC except from Chapter 8
,20.08,2008.11,CC except from Chapter 12
,,,
Tariff Item Number,,,Product Specific Rules
,,2008.19,CC except from Chapter 8
,,2008.2,CC except from Chapter 8
,,2008.3,CC except from Chapter 8
,,2008.4,CC except from Chapter 8
,,2008.5,CC except from Chapter 8
,,2008.6,CC except from Chapter 8
,,2008.7,CC except from Chapter 8
,,2008.8,CC except from Chapter 8
,,2008.91,CC except from Chapter 8
,,2008.93,CC except from Chapter 8
,,2008.97,CC except from Chapter 8
,,2008.99,CC except from Chapter 7 or 8
,20.09,2009.11,CC except from Chapter 8
,,2009.12,CC except from Chapter 8
,,2009.19,CC except from Chapter 8
,,2009.21,CC except from Chapter 8
,,2009.29,CC except from Chapter 8
